candidate_id,candidate_type,Service,start_week,end_week,spike_arm,spike_weeks,peak_ratio,total_tickets,dup_share,severity,Subcategory,volume,median_MTTR,impact_score
ep_Coreimage_Engineering_Services_20250421,both,Coreimage Engineering Services,2025-04-21,2025-04-28,volume+mttr,1.0,22.77,1349.0,0.047,32.500689832443484,,,,
ep_Cornerstone_Performance_Management_20250505,episodic,Cornerstone Performance Management,2025-05-05,2025-06-30,volume,5.0,4.47,982.0,0.105,33.285234628628,,,,
ep_Cornerstone_Performance_Management_20250728,episodic,Cornerstone Performance Management,2025-07-28,2025-08-04,mttr,1.0,4.11,56.0,0.071,8.244341068775638,,,,
ep_Cybersecurity_Operations_20250818,episodic,Cybersecurity Operations,2025-08-18,2025-09-15,volume,4.0,3.39,631.0,0.111,22.716667838897592,,,,
ep_Cybersecurity_Operations_20251103,episodic,Cybersecurity Operations,2025-11-03,2025-11-10,mttr,1.0,2.3,214.0,0.187,6.453540510683601,,,,
ep_Cybersecurity_Operations_20251117,episodic,Cybersecurity Operations,2025-11-17,2025-11-24,volume,1.0,1.9,263.0,0.08,5.163325627412582,,,,
ep_Database_Services_20250303,both,Database Services,2025-03-03,2025-03-10,volume,1.0,2.41,210.0,0.676,6.791685366507184,,,,
ep_Database_Services_20250929,both,Database Services,2025-09-29,2025-10-20,volume,2.0,1.89,305.0,0.744,7.433759524261321,,,,
ep_Database_Services_20251110,both,Database Services,2025-11-10,2025-11-24,volume,2.0,2.09,267.0,0.772,8.40895782980767,,,,
ep_Device_Support_Services_20250908,both,Device Support Services,2025-09-08,2025-09-15,mttr,1.0,2.48,1912.0,0.17,9.901490736873368,,,,
ep_Identity_Lifecycle_Management_20250217,episodic,Identity Lifecycle Management,2025-02-17,2025-02-24,mttr,1.0,3.65,313.0,0.604,10.739270828482198,,,,
ep_Identity_Lifecycle_Management_20250728,episodic,Identity Lifecycle Management,2025-07-28,2025-08-11,volume,2.0,6.33,2490.0,0.917,29.44338484818865,,,,
ep_Identity_Lifecycle_Management_20250915,episodic,Identity Lifecycle Management,2025-09-15,2025-09-22,mttr,1.0,2.87,560.0,0.795,9.627826647722728,,,,
ep_Learning_Delivery_Services_20251208,episodic,Learning Delivery Services,2025-12-08,2025-12-15,volume,1.0,3.36,93.0,0.344,7.943774796908611,,,,
ep_Linux_Hosting_Services_20250203,episodic,Linux Hosting Services,2025-02-03,2025-02-10,mttr,1.0,2.81,69.0,0.725,6.332680107141579,,,,
ep_Linux_Hosting_Services_20250310,episodic,Linux Hosting Services,2025-03-10,2025-03-17,volume,1.0,2.75,97.0,0.588,6.691446508795561,,,,
ep_Linux_Hosting_Services_20250825,episodic,Linux Hosting Services,2025-08-25,2025-09-01,mttr,1.0,3.36,38.0,0.447,6.4055955129781355,,,,
