cluster_id,cluster_label,tickets,median_MTTR,work_note_pct,top_subcategory,top_group,pct_of_total,candidate_id
3,state / reset / progress / state reset / reset progress,919,865.2,97.5,Other,MCD North,71.7,ep_Coreimage_Engineering_Services_20250421
0,required compliance / update required / device update / required / compliance,164,339.4,0.6,Other,Pathology Desktop,12.8,ep_Coreimage_Engineering_Services_20250421
2,waas / waas device / required compliance / update required / device update,80,265.1,0.0,Other,MCD North,6.2,ep_Coreimage_Engineering_Services_20250421
-1,— noise —,77,166.9,39.0,Other,Service Desk,6.0,ep_Coreimage_Engineering_Services_20250421
1,update required / device update / required / required compliance / compliance,42,719.9,0.0,Other,MCD South,3.3,ep_Coreimage_Engineering_Services_20250421
4,issue / information / contact / cornerstone / evaluation,283,2.2,73.1,Inquiry / Help,Service Desk,32.7,ep_Cornerstone_Performance_Management_20250505
0,performance / performance michigan / medicine performance / medicine / michigan medicine,256,22.4,0.0,Other,Bus Team Cornerstone Performance,29.6,ep_Cornerstone_Performance_Management_20250505
1,performance cornerstone / performance technical / technical issue / technical / cornerstone performance,185,3.2,8.6,Other,Bus Team Cornerstone Performance,21.4,ep_Cornerstone_Performance_Management_20250505
2,performance / performance michigan / medicine performance / medicine / michigan medicine,60,27.8,0.0,Other,Bus Team Cornerstone Performance,6.9,ep_Cornerstone_Performance_Management_20250505
3,cornerstone performance / performance / cornerstone / performance management / management,58,4.0,1.7,Other,Bus Team Cornerstone Performance,6.7,ep_Cornerstone_Performance_Management_20250505
-1,— noise —,24,1.3,0.0,Other,Bus Team Cornerstone Performance - Nurs,2.8,ep_Cornerstone_Performance_Management_20250505
1,operations intake / created ia / intake / intake inbound / ia cybersecurity,264,16.8,100.0,Inquiry / Help,IA Cybersecurity Operations,47.1,ep_Cybersecurity_Operations_20250818
3,user / activity / ia / cybersecurity / operations,182,23.2,93.4,Inquiry / Help,IA Cybersecurity Operations,32.4,ep_Cybersecurity_Operations_20250818
0,mcomm reportphish / reportphish susp / susp / created mcomm / mcomm,57,1.0,100.0,Other,IA Cybersecurity Operations,10.2,ep_Cybersecurity_Operations_20250818
2,closed / exabeam / closed reason / reason exabeam / reason,44,20.9,90.9,Inquiry / Help,IA Cybersecurity Operations,7.8,ep_Cybersecurity_Operations_20250818
-1,— noise —,14,350.6,100.0,Inquiry / Help,IA Cybersecurity Operations,2.5,ep_Cybersecurity_Operations_20250818
2,device / issue / room / computer / number,1278,18.8,85.4,System Degraded,Service Desk,83.0,ep_Device_Support_Services_20250908
1,printer / print / prt / xerox / paper,120,5.1,85.0,Inquiry / Help,MCD North,7.8,ep_Device_Support_Services_20250908
-1,— noise —,79,0.6,84.8,System Degraded,Service Desk,5.1,ep_Device_Support_Services_20250908
0,satisfied / satisfaction survey / satisfaction / survey results / survey,62,3.3,100.0,System Degraded,Service Desk,4.0,ep_Device_Support_Services_20250908
1,feb / account request / request / account / mar,87,7.4,0.0,Move/Change/Add,Accounts and Access,70.2,ep_Identity_Lifecycle_Management_20250217
0,user / access / password / information / contact,36,17.8,80.6,Account/Password,Accounts and Access,29.0,ep_Identity_Lifecycle_Management_20250217
-1,— noise —,1,13.8,0.0,Move/Change/Add,Accounts and Access,0.8,ep_Identity_Lifecycle_Management_20250217
